"","Symbol","logFC","FDR"
"1","Gm49388",5.20959564986087,1.36046152402995e-09
"2","Angptl7",-0.909032511263729,1.15207019632629e-05
"3","Vtn",-1.14861690985158,2.37904427140852e-05
"4","Fmod",-0.901672077625127,0.000370649674005727
"5","Gadd45a",1.12345705391943,0.00412302323730245
"6","Grik3",-2.10277316607818,0.00656875000114498
"7","Lamc3",-1.85138453451964,0.00656875000114498
