"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05132","mmu05132","Salmonella infection","218/5355","253/9045",2.55363979904976e-21,7.70734921167745e-20,2.78578887169065e-20,"14281/17906/22142/80837/12306/16476/67268/67951/192176/73710/26420/242894/226421/11465/19159/192656/110157/100040563/19344/21414/22154/11651/19353/66616/110750/26400/19158/74764/12028/11652/16151/26395/56551/59310/76709/12540/16573/12387/17113/11848/67771/56044/56455/74568/234686/68652/19157/140579/271457/72318/18643/13424/26397/19345/23797/22027/66713/76884/68097/30955/19878/26399/382562/53413/18035/56444/15519/16593/66482/19766/16648/26419/21933/56532/17869/66513/105855/69146/29857/16646/22143/15516/213575/67665/16594/19697/21416/12369/12675/54130/17281/286940/69654/15461/27205/12362/12370/22145/74117/19264/68724/240752/170760/74192/16574/22030/50884/13427/22034/269338/80743/18706/16649/18645/24088/18033/26409/22166/53598/69582/77573/56378/11461/56443/11867/73178/20336/67166/53857/21937/20430/18704/17907/27050/18479/59288/14082/67117/16179/22428/16150/12367/13191/71609/11796/117149/71732/71999/235661/74769/17874/235406/13430/26398/12363/17920/225326/101314/228545/353047/67938/26396/66724/234663/21402/227613/622434/226977/70297/107607/280408/20130/21898/22035/18707/232943/140580/218035/20194/170625/22146/11845/110350/67068/11840/12475/21899/19094/26416/11852/21415/12043/11797/14433/320795/12018/22151/11308/266632/105504/11841/22153/26417/26413/13063/98932/68794/66395/56212/16572/53791/56382/68089/19349/100310872/100040531/21648/100041194",218
"mmu04141","mmu04141","Protein processing in endoplasmic reticulum","156/5355","172/9045",1.46234485572683e-20,4.04582076751089e-19,1.46234485572683e-19,"69608/17155/26420/13002/99683/20832/27061/26400/19089/19358/12317/12028/67838/27103/22230/56085/81489/15482/94232/17156/22213/12915/54197/15481/18024/116891/66530/140740/216080/22027/20224/56709/66753/12330/66397/193670/22433/71853/217379/78943/67128/20338/20334/13665/110616/15519/107513/66890/59007/50527/26419/100037258/13135/67819/56438/140499/50873/15516/19106/81500/74126/12333/18453/13198/18415/57743/12304/12364/72265/56812/67812/12334/226641/13418/14828/22030/66861/14827/81910/27054/386649/20014/69276/67437/56228/15502/12017/19359/269523/18786/13200/63958/15467/67397/15505/26965/57377/103963/53421/192193/110379/13666/56445/23802/64209/56453/12955/12282/16430/68292/69162/21402/77371/227619/230815/320011/108687/105245/223455/218811/22393/56424/217365/17872/216440/66256/70361/66435/213539/11911/66967/50907/226418/216197/270669/54609/240667/108159/66212/50762/67475/12043/12018/15512/66245/26408/14376/225896/75744/109815/66105/20335/15511/56550/193740/80286",156
"mmu04140","mmu04140","Autophagy - animal","132/5355","142/9045",4.98952069128207e-20,1.27424682269665e-18,4.6057114073373e-19,"69635/18753/384783/26420/226421/110157/11651/22084/235040/17274/20869/11652/29869/26395/18749/27103/18747/16001/12048/13033/19053/67605/19211/18412/16784/75909/170749/56486/23797/74747/56480/19324/19052/72508/78943/15251/13665/13039/66795/26419/13030/97998/67841/67474/18607/56716/329015/58988/12015/15461/74370/12421/12633/66615/77040/18761/64930/22034/51897/66734/18706/19338/56790/18176/52187/26409/73205/108079/242557/54170/18710/19744/56717/207565/22241/74781/16438/57436/16653/97287/74244/18518/16783/13666/67443/18709/93739/13143/74769/17532/75669/67526/245860/225326/74302/13144/26396/56208/78610/100502698/54673/68118/100504663/11793/68728/20130/18707/228361/76559/18708/245670/52639/218460/217695/16369/73683/237782/105787/22320/66922/16367/12043/67727/26417/26413/21353/15289/68441/641340/12176/666468/19349",132
"mmu05205","mmu05205","Proteoglycans in cancer","179/5355","205/9045",4.70353298064655e-19,1.11540924969618e-17,4.03159969769705e-18,"22370/17390/12843/14268/12842/21825/13179/13649/17022/22324/15170/14368/17698/20969/14734/192176/29875/14371/14362/11465/12390/216795/110157/16402/11836/11651/319757/19353/109880/21844/21803/20848/11652/19047/26395/18749/12505/18747/16001/83383/12540/12387/12389/13345/11848/17295/13712/22325/19046/16398/22411/18803/20971/17395/13867/232807/23797/13982/17931/21859/16000/327826/17246/72508/19878/16416/13207/15251/19206/13039/12325/18792/22418/14000/15529/17869/66911/14083/29857/16419/15163/22410/12575/22339/18607/20662/19877/15200/17126/12322/14102/58988/18569/74055/286940/12512/15461/16412/16410/20779/18706/22414/18176/24088/20104/18710/15530/20544/56717/19303/11461/93735/16438/22419/16653/16439/18479/13043/11733/14182/12367/14388/18709/19684/74769/17532/109676/22420/57257/14733/234779/12402/20663/26396/15442/22160/22417/14370/14173/69253/20130/21898/21808/18707/19045/16801/14369/18708/16440/19247/14367/16002/14366/57265/15430/18750/22350/18751/19094/26416/108058/66922/12323/75705/69632/22059/14784/13866/12391/16542/26417/26413/68794/11735/12443/329251/18752/93897/434233",179
"mmu04919","mmu04919","Thyroid hormone signaling pathway","113/5355","120/9045",1.54370272040062e-18,3.41672868782004e-17,1.2349621763205e-17,"18131/13371/17888/140781/56421/11465/11938/11932/110157/18519/11651/22084/11652/26395/18749/18747/17978/12387/98660/27222/18799/216154/18132/20183/20181/67821/18803/23989/76199/19014/20185/23797/13982/15182/72472/17246/18641/17977/16416/53313/14534/72469/15251/21834/12159/67381/17869/12914/56637/54720/18607/15183/12015/18797/74055/15461/20846/18802/18640/11931/68975/18128/16410/20779/18706/17979/18176/18129/20525/18710/433759/20544/12371/19744/56717/11461/16653/11937/18709/234959/11933/74769/18642/210789/11928/20502/327987/234779/26396/22417/18821/69790/53901/20182/18707/18798/18708/20466/56458/18750/18795/18751/328572/329650/21833/11936/22059/26417/26413/26896/12443/18752/59024",113
"mmu04932","mmu04932","Non-alcoholic fatty liver disease","141/5355","156/9045",2.35914145096703e-18,4.89521851075659e-17,1.76935608822527e-17,"14281/13106/384783/16476/19016/26420/12858/66925/66108/11651/19353/22259/69875/68198/21803/12028/26403/11652/12122/58805/68349/16337/241113/12540/67680/84682/226646/17991/12864/20181/54405/12867/21428/23797/66414/75406/66594/22433/20787/78943/13665/67530/66945/407785/17993/26419/66218/19013/67130/66445/29857/56637/68194/11450/68202/78330/72900/20463/14102/19697/12369/67264/13198/12869/22273/227197/12370/66495/67273/72674/68375/22030/12125/16396/18706/66046/16194/18033/108079/595136/18710/108099/19079/17992/68465/21937/68197/12862/70316/67003/104130/66142/16150/12367/13666/12857/18709/12866/74769/66916/12606/66091/12868/67184/110323/66377/17995/108097/208104/66694/18707/68342/407790/18708/12861/66416/11911/22272/105787/12702/19094/26416/16367/606496/16847/66052/16846/66152/225887/12859/13063/66576/17708/17709/17710/17711/19082/230075/26408/12865/100041273",141
"mmu04144","mmu04144","Endocytosis","226/5355","272/9045",7.14163427119032e-18,1.39471916355011e-16,5.04115360319316e-17,"13649/15007/18595/13429/245666/215280/243621/242894/208650/19159/12390/19344/234852/13855/11772/17274/20405/14773/19158/53869/68942/14186/16001/72183/56513/27681/13859/76709/12540/16573/70527/15482/21812/12389/11848/232910/67771/20479/216963/22088/78287/15481/12343/22365/14991/19157/268451/271457/72318/66313/319740/109689/19345/19341/54198/66201/67282/70432/30930/66713/17246/216724/11844/19325/54189/18806/218038/218441/11843/13132/223593/13196/22042/69150/11773/213990/16004/57440/68767/28006/30948/106952/17126/83814/13660/110355/107338/208092/67588/216439/15461/15239/93742/98366/74117/20844/74192/16574/16184/227700/22034/77038/98878/84092/69178/19334/66371/228998/16396/20779/18805/18720/76959/12757/13858/12345/140500/18762/56433/56378/77407/56443/11867/73178/234353/67028/16186/70160/52348/65114/71955/73711/116733/69091/16835/17999/56440/27965/17127/21813/18571/14276/69710/69780/13430/68953/105513/232227/12402/67804/230597/319277/18717/71770/13854/15015/216238/229285/18854/230837/54673/215445/73728/100017/18759/212285/68524/75608/72543/75788/74998/103967/58194/107568/26431/320129/11845/58220/12767/55988/67300/74325/11840/107305/78618/52055/11842/211914/14772/66700/15042/14184/66251/347722/56324/15039/225861/93737/106572/15512/216869/11771/15018/14972/11841/12391/330192/15040/211673/12340/110557/14964/259300/99371/16572/26385/19326/28084/68089/19349/15024/330319/15511/193740/67064/66914",226
"mmu04120","mmu04120","Ubiquitin mediated proteolysis","133/5355","147/9045",1.79517207656167e-17,3.31109516343596e-16,1.19678138437444e-16,"208650/68612/22201/107986/50868/67030/26554/59004/22192/22190/22213/268470/17222/22196/22209/66313/68729/22187/216080/69288/67345/52717/17246/56371/103583/216150/22210/78294/217232/67128/217342/71991/26401/22194/246710/106052/56438/17237/66053/140499/50873/12211/71745/52563/83814/28000/13194/74126/66156/12234/59026/22215/17344/11798/66799/14897/99152/22193/56791/22034/140629/16396/50754/229615/56228/63958/52206/53323/68098/56317/59008/117146/26965/73998/22200/15204/76375/75430/72584/99375/66894/11796/75717/17999/109161/56469/74153/231672/22346/12402/67921/69010/17318/231380/67615/21402/67455/20437/68999/18854/70790/69957/66515/235439/75788/22195/100763/22214/56424/20438/26374/107568/70093/105193/19823/69807/56459/76980/50995/12702/27401/67673/11797/218793/140630/77891/66440/242521/93765/66105/67923/22186/56550",133
"mmu04010","mmu04010","MAPK signaling pathway","239/5355","294/9045",1.69185857401868e-16,2.95630024512738e-15,1.06854225727496e-15,"13197/239556/14281/18596/18783/13649/16177/16476/18595/17311/192176/12295/26420/18015/12288/67603/18053/14673/14177/110157/18591/23939/11836/11651/19353/13163/109880/21803/26400/19698/19060/12297/72349/20111/26403/11652/65964/16151/18654/26395/15507/18749/14186/18747/16001/16337/17260/16590/12929/21687/13836/12540/15482/21812/17295/13712/56808/26407/12977/17873/20807/15481/68652/17164/216965/18099/12298/12928/170758/13867/58231/17762/109689/26397/23797/16000/19279/17347/14257/26399/26406/12299/54377/12291/53859/19042/73086/21809/23882/218397/19418/26401/19056/26419/14180/12294/19057/11600/56274/17869/66513/16180/29857/60597/224105/15370/26404/20112/22339/58226/30957/19252/26410/20662/225028/26405/12978/14102/19697/26412/22340/12675/18034/286940/13198/15461/18590/26921/12292/13714/22030/11909/22034/14178/19099/12531/13537/14013/18176/13636/13645/54635/19055/18033/26409/17346/16765/53608/17165/14254/21802/70686/16653/21937/233046/18479/110651/14205/16179/11601/22341/319520/16150/14182/80857/12367/71609/18021/71785/114713/21813/17532/17874/102626/19395/18018/19354/26398/71751/19058/12286/240672/20663/26396/14701/14164/14173/18218/20130/21808/63953/12293/319734/11911/12064/16002/18205/329502/18750/12475/215449/18751/19094/26416/235584/14184/18212/66922/23938/17187/22059/266632/14784/15512/381921/216869/19043/330177/76089/13866/16542/26417/26413/26940/68794/109905/81904/240168/16478/26408/78405/54378/18752/15511/56692/193740/211429/14256/56613",239
"mmu00190","mmu00190","Oxidative phosphorylation","121/5355","135/9045",3.1118749773598e-15,5.16571246241727e-14,1.86712498641588e-14,"12858/66925/66108/11950/27060/69875/68198/66043/66144/68349/11951/11966/67680/84682/11972/226646/17991/12864/11974/67126/54405/12867/228033/54411/11973/11975/66414/67895/75406/66594/69802/73834/67530/66945/407785/17993/66335/66218/67130/66445/68194/11957/28080/68202/78330/72900/11984/20463/66237/67264/11947/11946/12869/22273/11949/227197/66495/67273/68375/66046/74776/595136/17992/68197/12862/70316/67003/76429/104130/66142/12857/12866/114143/108664/66916/71679/66091/12868/67184/110323/66377/17995/21871/66694/57423/27425/66290/76252/226139/68342/407790/12861/66416/70383/22272/12856/11958/11964/66052/66152/225887/12859/67942/13063/66576/17716/17717/17708/17709/17706/17705/17710/17718/17719/17721/17722/17711/17720/230075/12865/100041273",121
"mmu05212","mmu05212","Pancreatic cancer","74/5355","76/9045",5.80314110291743e-15,8.75746748258449e-14,3.16534969250042e-14,"13197/13649/26420/110157/11836/11651/19353/107986/109880/21803/12028/20848/11652/16151/64143/26395/12540/12567/21812/12048/56044/17873/13557/170758/242705/23797/72508/18806/21809/23882/27015/26419/19645/12575/22339/19765/17128/17126/58988/19697/12015/12675/20846/19730/19361/18706/18805/13645/18033/16451/18710/12371/56717/21802/16653/73341/16150/18709/17127/21813/74769/19354/21808/18707/12571/12190/18708/12578/12018/22059/13866/26417/26413/12443",74
"mmu05220","mmu05220","Chronic myeloid leukemia","74/5355","76/9045",5.80314110291743e-15,8.75746748258449e-14,3.16534969250042e-14,"13197/12394/110157/11836/11651/107986/109880/21803/12576/12028/20850/11652/16151/14389/26395/12929/12567/21812/12048/110279/17873/13557/12928/242705/23797/15182/17246/216148/20851/18035/21809/23882/27015/19645/17869/12575/20662/17128/19697/12015/12675/15461/11350/18706/14013/18176/18033/18710/433759/16653/13017/16150/18709/17127/21813/74769/12402/20663/26396/271849/13016/21808/18707/12571/18708/20416/19247/12578/12018/22059/14784/26417/26413/12443",74
"mmu04910","mmu04910","Insulin signaling pathway","123/5355","139/9045",1.85854136613951e-14,2.6827640589492e-13,9.69673756246699e-14,"216233/19017/103988/384783/19268/244416/110078/110095/26420/208650/110157/15277/11836/12313/11651/109880/22084/19088/16890/14936/11652/19047/26395/18749/23921/18747/16337/12929/241113/13712/19046/12928/20528/12315/106628/23797/17347/216148/72508/107476/20787/19084/53413/14120/26419/56637/18607/104215/20662/58988/12015/20411/14104/212111/15461/18682/74370/19085/26987/64930/18534/19246/18706/18176/13684/20104/108079/18710/17346/108099/19744/56717/18762/19079/16653/18576/68961/110094/13685/16150/18709/75600/74769/19087/19309/16332/80796/18679/12402/68401/20663/26396/271849/12314/102093/15275/18759/108097/54646/107746/18707/19045/74551/18708/100705/20416/140491/56458/16369/67296/228966/105787/12702/16367/14251/14784/14252/26417/26413/53412/19082/105651/434233",123
"mmu04722","mmu04722","Neurotrophin signaling pathway","108/5355","121/9045",1.96073407033122e-13,2.71234879729152e-12,9.80367035165611e-13,"18753/16476/26420/73914/192656/18053/110157/23939/12313/11651/19353/109880/26400/20111/12028/11652/26395/23921/12929/12540/11848/19165/17164/18803/12928/12315/23797/19164/327826/216148/26406/22627/18035/73086/170936/26401/12325/26419/29857/56637/20112/18037/18607/20662/12322/19697/12015/192662/94275/15461/11350/22034/18706/18176/18033/18710/11857/16653/18036/20399/110651/16179/16150/14388/18709/75600/74769/80796/234779/20663/26396/271849/72843/77480/12314/107746/18707/18708/11911/16923/20416/19247/12070/12064/56484/18205/215449/19094/26416/108058/18212/16367/12043/12323/23938/65020/18213/22059/266632/14784/108960/26417/26413/20661/109905/26408/14570/78405",108
"mmu04150","mmu04150","mTOR signaling pathway","134/5355","157/9045",7.04341463482014e-13,9.21107173980537e-12,3.32930303848387e-12,"20393/14368/14371/14362/329679/216795/110157/11651/109880/22084/20869/13544/20111/11652/66144/29869/26395/16001/16337/11966/11848/56032/17254/67605/19211/80909/22411/11973/23797/16000/74747/14783/17168/71962/72508/14245/13543/73834/67046/69008/22418/66335/97998/56637/22410/20112/64898/18607/56716/71718/20662/66237/58988/16973/12675/15461/74370/268933/227154/26987/64930/64899/75425/18706/22414/18176/83409/13684/52187/20104/108079/54170/18710/230784/19744/56717/13542/22241/93735/22419/16974/16653/110379/21937/66508/110651/13685/16150/18709/319481/74769/216805/22420/108664/20663/26396/216742/109270/12283/22417/14370/277854/227743/66290/18707/20539/14369/18708/245670/252875/14367/268706/56430/14366/57265/78757/66096/105787/18750/11964/18751/27401/16367/75705/14784/26417/26413/72149/68441/18752/72124/93897/68576/56692",134
"mmu05223","mmu05223","Non-small cell lung cancer","69/5355","72/9045",7.21348991671505e-13,9.21107173980537e-12,3.32930303848387e-12,"13197/13649/19713/218772/110157/11836/11651/107986/109880/12028/20848/20850/11652/26395/12567/16573/17295/56289/17873/20183/20181/13557/18803/58231/242705/23797/20851/23882/27015/19645/12575/18607/20662/12015/15461/54354/16574/18706/18176/13645/18710/12371/21802/16653/16453/18709/74769/78798/234779/20663/26396/20182/18707/12571/18708/12578/56484/18750/18751/12018/22059/14784/14198/13866/26417/26413/12443/16572/18752",69
"mmu04371","mmu04371","Apelin signaling pathway","119/5355","137/9045",1.02052844973184e-12,1.25487201967027e-11,4.5356819988082e-12,"18131/17906/17896/19017/11475/18126/23796/20750/14677/14219/14679/110157/12313/17261/11651/16890/21780/11652/26395/18749/18747/11515/17260/241113/21812/15184/12315/23797/432530/72508/30955/14674/104111/320207/20191/210044/104110/107589/224129/11512/14695/17128/17126/14682/58988/18797/15461/208727/16449/228785/66734/14696/18176/20104/108079/20544/108099/18127/56717/14688/18125/19079/14693/16438/16653/16439/103968/17258/20190/18576/18791/11513/67443/14697/75600/17127/17532/14678/75669/66066/225326/80796/26396/56208/14701/12314/30878/18787/108097/20130/13653/14700/14710/18798/16440/14702/238564/18754/104709/14708/11607/105787/18795/20541/16598/66922/56632/20192/18181/17897/20698/26417/26413/19082/14707/12443/14704/17259/110893",119
"mmu05225","mmu05225","Hepatocellular carcinoma","145/5355","174/9045",4.17899623940544e-12,4.95509554100931e-11,1.79099838831662e-11,"13197/14859/56615/13649/14368/14371/14362/11465/14872/216795/12006/110157/21414/232223/20587/11836/14871/103140/11651/107986/109880/21803/13544/50868/18104/12028/14866/68312/11652/26395/15368/16001/11789/12567/12387/21812/12048/93760/17295/13712/19211/17873/18024/22411/13557/18803/242705/23797/23805/50493/216148/72508/13543/70127/21809/23882/27015/22418/19645/17869/56637/22410/83797/12575/72057/12005/20662/17128/17126/93687/58988/16973/67155/12015/21416/14873/68094/15461/66447/18706/56456/22414/18176/14865/18710/66993/56717/13542/11461/93735/21802/22419/16974/16653/29861/26992/14388/18709/20586/14860/17127/21813/74769/20588/22420/77044/234779/20663/26396/271849/22417/14370/57376/14869/21808/18707/12571/14863/14369/18708/66923/20416/12578/14367/212398/16002/14366/57265/18750/18751/21415/12018/14862/22059/14784/14870/26417/26413/14296/239985/12443/26462/83796/18752/93897",145
"mmu04142","mmu04142","Lysosome","116/5355","135/9045",9.82165731205706e-12,1.12441042331136e-10,4.06413406016154e-11,"13038/13040/11886/14667/11433/27060/27419/108011/11432/11767/13423/19156/94178/11769/27029/17159/83429/18010/17113/13033/11764/15587/15586/11972/50917/54397/64138/16784/19025/12514/54411/11975/11781/66848/53599/11776/17775/74008/260302/11782/14420/19141/67963/13039/15212/11774/55946/13030/100862375/211286/114128/17939/56722/11883/18174/27426/16004/11984/18145/11777/16889/15211/12512/110006/14387/72175/18173/11305/229445/14466/110173/12757/16792/19063/71665/56325/12492/58911/13032/12752/74105/12751/11605/108012/16783/11593/64933/11765/192654/13036/67489/106039/114143/15932/108664/75612/432486/214505/15931/20597/52120/240283/21871/211329/104082/11766/235380/11881/12091/67300/74325/235504/11778/20661/56464/67464",116
"mmu01522","mmu01522","Endocrine resistance","84/5355","93/9045",2.20595423948103e-11,2.44125602502567e-10,8.82381695792410e-11,"17390/18131/14281/13649/16476/26420/110157/11836/20683/11651/109880/16450/12576/12028/11652/26395/18749/18747/16001/11515/12567/13388/18132/13557/17395/19014/20185/242705/23797/13982/16000/17246/216148/432530/72508/104111/210044/26419/19645/104110/14083/29857/224129/11512/12575/20662/15200/58988/12015/15461/18128/16449/54485/14683/20779/18706/17979/18176/18129/12580/18710/56717/16653/11513/18709/59035/74769/20663/26396/271849/18707/18708/20416/12578/19094/26416/76854/12043/22059/14784/13866/26417/26413/12443",84
"mmu04070","mmu04070","Phosphatidylinositol signaling system","86/5355","96/9045",3.74433563404441e-11,4.01006267904111e-10,1.44942024543654e-10,"56077/320634/12313/233011/110524/18799/19211/53332/18803/170749/108083/12315/72469/75678/219135/104015/20975/271424/114663/18797/74055/84095/83493/13139/117150/212111/18711/16329/269180/18802/16331/240752/18718/64436/55980/18706/18720/72519/18710/16330/67073/74596/16438/97287/16439/18704/52858/17772/18709/77116/75600/74769/27399/76500/16332/327655/225326/80796/234779/74302/380921/18717/219024/217480/12314/234515/320404/107650/54384/18707/18798/104418/227399/18708/224020/101490/16440/18750/18795/18751/217837/110911/69718/242291/227333/18752",86
"mmu04152","mmu04152","AMPK signaling pathway","109/5355","127/9045",4.90814323386154e-11,5.09219860513134e-10,1.84055371269808e-10,"12894/26427/19017/384783/20250/12683/19016/12491/56421/11651/22084/17274/20869/16890/14936/11652/16001/16337/241113/51792/78070/19053/67605/26931/20528/23797/16000/93759/18641/19052/72508/107476/20787/19325/59032/26932/14120/15357/69008/71978/11450/18607/225849/58988/14104/18639/74370/270198/12912/227154/18640/72674/226849/170768/64930/68365/18534/18706/12428/74343/26409/12913/108079/18710/108099/19744/56717/57915/207565/22241/19079/68465/13685/18709/73699/74769/18642/68401/13629/13631/12283/20249/108097/208647/18707/15568/74551/18708/52432/100705/235542/56458/11549/16369/59021/56484/105787/231991/16367/16847/16846/21770/19082/72149/12443/56690/19326/12895/19054",109
"mmu04137","mmu04137","Mitophagy - animal","64/5355","68/9045",5.85731199157845e-11,5.71949288589426e-10,2.06728658526298e-10,"16476/26420/226421/209446/20683/52440/12048/22190/94044/18412/17966/59040/56486/66437/22187/56480/14479/66687/78294/15251/26419/12177/50873/21425/13001/19697/72018/15461/214952/71648/84092/66734/20779/67414/18176/68943/66169/170731/72542/22241/100756/57436/16653/13666/67443/93739/17532/245860/56208/17342/11793/20130/233204/17684/228361/11911/13000/56484/66922/22059/12995/12176/19349/22186",64
"mmu05211","mmu05211","Renal cell carcinoma","64/5355","68/9045",5.85731199157845e-11,5.71949288589426e-10,2.06728658526298e-10,"23871/16476/209446/110157/18591/11836/11651/19353/109880/21803/11652/94315/26395/12929/12540/17295/11863/11864/12928/23797/15251/21809/56438/12914/224105/12575/22339/13819/71745/20662/12015/15461/14194/18706/18176/20525/18710/21802/16653/70584/18479/14388/18709/112405/74769/216805/22346/20663/26396/112407/21808/107746/18707/18708/19247/215449/328572/67673/112406/14784/26417/26413/109905/67923",64
"mmu05017","mmu05017","Spinocerebellar ataxia","119/5355","141/9045",6.74745143724747e-11,6.40043964904617e-10,2.31341192134199e-10,"17927/26420/11938/20683/11651/53623/19182/11652/29869/71722/19185/19172/21762/22335/215999/21374/19170/19166/11740/54138/22123/69077/19175/23797/22333/22433/80913/19184/78943/66997/53313/26443/19179/110616/66413/22334/67089/105675/26419/19173/18044/69597/14682/329015/22359/81601/18797/226153/23997/12421/70247/19177/59029/22030/51897/67134/26444/18706/22065/229906/80912/18710/26445/19181/56717/67151/22241/74781/16438/16439/57296/20190/23996/11937/26440/11739/18709/114896/19883/26441/74769/75669/233871/225326/12286/67013/56208/170483/68118/100504663/74143/56436/17463/19664/18707/18798/228361/76559/18708/52639/19699/20422/20239/16440/20238/18750/18795/18751/19167/16504/13063/20743/26442/26446/52335/237336/26408/641340/18752",119
"mmu04211","mmu04211","Longevity regulating pathway","81/5355","90/9045",7.98147043545382e-11,7.36068940158519e-10,2.66049014515127e-10,"26427/19017/384783/19016/11651/22084/20869/12028/11652/18749/18747/16001/16337/11515/241113/20656/67605/110147/12915/23797/16000/93759/432530/72508/104111/210044/104110/224129/11450/11512/58988/19697/15461/74370/12421/12912/26987/72674/64930/11909/12359/51897/18706/18176/13684/18033/12913/108079/18710/230784/108099/19744/56717/207565/22241/19079/68465/16653/13685/11513/18709/75747/74769/77683/68118/11793/108097/140742/208647/18707/72993/18708/11911/56458/16369/56484/105787/231991/16367/22059/19082",81
"mmu04931","mmu04931","Insulin resistance","96/5355","110/9045",9.18093810110548e-11,8.23803094477573e-10,2.97760154630448e-10,"12894/26427/18753/19017/384783/19268/244416/110078/12491/110095/26420/26458/11651/22259/20111/14936/20848/11652/19047/58805/16337/241113/19211/19046/21428/20528/23797/14584/72508/20787/18035/26419/19013/56637/20112/18607/58988/19697/76055/12912/18761/18534/19246/18706/26568/74343/18033/12913/108079/20525/18710/108099/18127/56717/18762/19079/14583/21937/110651/16150/26457/18709/11606/74769/19309/228775/210789/170826/108155/68401/108097/208104/208647/110854/18707/19045/74551/18708/100705/140491/19247/56458/18754/228966/105787/18751/231991/12702/16367/26569/22260/53412/19082/105651/12895/434233",96
"mmu05100","mmu05100","Bacterial invasion of epithelial cells","70/5355","76/9045",1.15191725456029e-10,1.00641191714214e-09,3.63763343545353e-10,"14268/20362/13429/242894/11465/18000/12390/54204/16402/19353/12929/76709/12540/12387/12389/11848/67771/17295/234683/140579/12928/66713/216148/22330/24050/14083/15163/16412/74117/74192/20779/18706/12757/18710/242687/71890/56378/19303/11461/56443/11867/73178/16202/13043/14388/18709/12927/74769/13430/12402/271849/622434/78514/12385/18707/103967/140580/18708/20416/67300/74325/56526/52398/330662/53860/216033/12488/12391/56212/68089",70
"mmu03013","mmu03013","Nucleocytoplasmic transport","101/5355","117/9045",1.2300711204482e-10,1.04713746663796e-09,3.7848342167637e-10,"17149/53817/74204/16211/227720/75751/110750/19386/16650/108989/56698/238799/53319/320938/13680/22196/13628/18141/16647/74412/20610/103573/170930/445007/18949/218210/16648/57258/20220/65246/170762/56215/19387/68092/75826/16646/225160/21681/192170/73666/22218/226747/69482/66679/16649/97112/433702/72787/51796/19384/54563/66441/110379/70572/212999/71805/230673/234733/107829/73192/19826/269113/69736/68134/223921/56488/331401/67878/13627/60365/67031/70699/234865/320727/69912/19069/386612/226432/237082/76582/326622/231042/59015/227699/103468/107939/66231/66069/19704/56009/100041953/269966/78428/233726/72322/192160/72124/19428/100042165/18226/71844",101
"mmu05222","mmu05222","Small cell lung cancer","83/5355","93/9045",1.32233682098137e-10,1.09753956141454e-09,3.96701046294412e-10,"13197/23928/14268/12826/12827/16777/12830/12829/18126/16773/218772/16400/11651/107986/12576/12028/11652/16151/22642/12567/12048/19211/17873/16398/16776/20183/20181/13557/22032/242705/23797/16775/11783/18035/22031/23882/27015/19645/17869/14083/12575/16774/19697/12675/12566/16412/11798/226519/16782/22033/16780/22030/16410/16403/22034/18706/54124/18033/12448/18710/12371/16150/12367/18709/11796/74769/16399/20182/18707/12571/18708/16779/27401/12043/11797/12018/17187/22059/14198/13063/12443/12579/12828",83
"mmu04810","mmu04810","Regulation of actin cytoskeleton","182/5355","231/9045",1.37026833800811e-10,1.10958314199681e-09,4.01054147709692e-10,"109828/14268/544963/20315/14745/18596/192897/17906/227753/13649/22324/16414/14061/18595/17698/67268/319480/29875/16409/242894/11465/320910/16421/14673/14177/110157/18591/16402/11836/16400/11651/19353/109880/21844/20259/11652/19047/26395/14186/59310/11789/12929/76709/12540/11848/67771/22325/216963/19046/69379/109711/16398/12928/170758/18643/108083/17880/232807/23797/17931/23805/66713/76884/16886/19878/14674/382562/16416/77579/12062/22330/14180/219140/66214/17886/105855/14083/224105/16419/107589/13800/20662/19877/13367/14163/16404/108100/117150/15461/16412/18590/18711/74117/18718/74192/241226/329165/16420/50884/16401/16410/16403/14178/228785/20779/18706/18645/18176/13645/54635/18720/18710/20544/242687/56378/19303/11461/56443/11867/16885/73178/16653/20430/70584/17907/71960/18479/16408/73341/54126/14182/80857/18709/12927/71785/19684/74769/17532/19354/57257/101314/54004/245857/16399/20663/67938/18717/26396/14701/14164/14173/237860/30938/20130/104099/18707/19045/16801/18708/231637/109700/238564/12767/12671/14062/19241/22350/14184/60595/66922/12631/232906/330662/69632/12632/26417/26413/98932/329251/68089/213119/434233",182
