"","logFC","logCPM","LR","PValue","FDR"
"Depp1",2.03841847993365,4.4422496289105,108.072572105713,2.5911460491779e-25,3.96911751813071e-21
"Hp",-1.26210832617847,5.35804441040754,99.7644848010343,1.71640712943601e-23,1.31459622043504e-19
"Sln",2.58977330921037,3.02656430320844,89.6331103337887,2.86685823115427e-21,1.46381781282737e-17
"Plin1",-1.25211459600664,4.34352800424672,86.0448049342283,1.75904646162137e-20,6.73626842477902e-17
"Adipoq",-1.2488412621909,4.99539297941651,83.9192049872826,5.1541399891583e-20,1.57902232707854e-16
"Krt18",2.15572047873664,3.55896765517756,81.8744901577462,1.45008913288092e-19,3.70207755624498e-16
"Trarg1",-1.25368492518501,3.48616620797221,78.93439201947,6.42072055507875e-19,1.40503710660995e-15
"Cpne2",1.26605349255721,4.47757099247352,77.3429102416726,1.43709653937047e-18,2.75168059875961e-15
"Cebpd",1.39323903887073,5.39119344911053,60.9343288094788,5.90108097632875e-15,1.00436398217115e-11
"Nnat",-0.997160396473446,4.73051972521923,60.6380710096097,6.85944859144365e-15,1.05073033523734e-11
"Sik1",0.982848684538506,4.34089509642167,60.2861386189841,8.20229884760111e-15,1.14220739770503e-11
"Aoc3",-1.03045200134381,4.22661584536411,58.998389420936,1.57801075632168e-14,2.01433073044463e-11
"Acp5",-1.40839099946443,1.91720139906337,55.7362260264019,8.28769205974068e-14,9.76545130546983e-11
"Slc1a5",-0.897406997788834,4.50231627387574,53.7930875325022,2.22755061329305e-13,2.43725859245878e-10
"Prkar2b",-1.39344197290179,2.95030044322942,52.7638693031781,3.76157692204394e-13,3.84132235279127e-10
"Sncg",-1.02127786949197,3.89522261764294,50.126996421323,1.4411065362456e-12,1.37967937013813e-09
"Smoc1",-1.06012264298107,2.76653639402188,47.7188717311721,4.91933360280479e-12,4.43260894869199e-09
"Gadd45a",1.21112660523468,4.28174506213707,46.9714125952941,7.20297164127672e-12,6.12972886672649e-09
