"","logFC","logCPM","LR","PValue","FDR"
"Kdm5d",-12.9941422826251,3.85720524863627,1642.5640288034,0,0
"Eif2s3y",-11.6496156205807,5.67876913863466,2970.0588361407,0,0
"Ddx3y",-10.9753450153452,6.47853122513376,3623.62963144591,0,0
"Xist",10.6439105138271,6.66008556159092,3566.30174403623,0,0
"Uty",-9.50602751162217,3.91438212509705,1606.69937966389,0,0
"C7",-4.36494010170911,3.42051299691221,818.263848774942,5.77068154098301e-180,1.50489756786269e-176
"Amd2",-2.76869465894583,7.67758884261113,779.694381099166,1.40261663984327e-171,3.13524893766109e-168
"Amd1",-2.70244333742063,8.06874981116918,723.248280245322,2.63226350332938e-159,5.14837837957436e-156
"Mybph",2.56080582747272,6.80516703327266,555.572570952055,7.72219054048375e-123,1.34254572652166e-119
"Slc15a5",-5.14849774592182,2.30295465441626,450.590896229073,5.36439065986743e-100,8.39366206549457e-97
"Dkk3",-2.07844537476838,6.08182304062676,378.136501765256,3.16720870614619e-84,4.50521042046086e-81
"Slc2a3",-2.46727400171114,3.71401688767459,349.46186890079,5.55041593878672e-78,7.23727984951632e-75
"1700001O22Rik",-3.89839074915343,2.34784068795436,346.508797169246,2.44010902619365e-77,2.93695276406554e-74
"Cdk19",-1.78617454212636,5.21633441448358,326.585934346674,5.32582600463139e-73,5.95237139246195e-70
"Slc30a2",-2.19981453044195,4.47498861595741,319.747706276863,1.64382788086518e-71,1.71473165679317e-68
"Actr3b",-2.22142531062986,3.65233894596247,198.756007606019,3.90214152996697e-45,3.81605053246208e-42
"Ces1d",1.17886690198878,5.83658162933995,191.377447653646,1.5909976675295e-43,1.46437297081377e-40
"Galnt17",-1.96251442932589,3.62289424983659,190.001084935284,3.17756340181635e-43,2.76218525267891e-40
"Casp12",-1.80253555818446,3.39549981111399,189.739950536753,3.62321763754313e-43,2.98381507234933e-40
"Gadl1",-1.82276066454081,3.20302517172806,188.36935472586,7.21561839205355e-43,5.64513904902309e-40
"Cacna2d4",-3.76797807408734,2.41814404921527,187.354638725844,1.2016474509218e-42,8.95341793551118e-40
"Tiam1",-1.58908084989991,3.49315048989451,182.783645339078,1.1958116163532e-41,8.5049383459448e-39
"Gm42146",-1.74421424800587,4.17264376634316,179.748813229901,5.49876027378523e-41,3.74083052190946e-38
"Mgst1",-1.20800180338067,4.80218682554332,175.373766273369,4.96119410465652e-40,3.23449183981503e-37
"Mical2",1.11185135729736,7.73343476209003,139.805819873638,2.93546328102033e-32,1.837247758325e-29
"Tmem52",1.07688376550945,6.15539690086083,135.166702517269,3.03579903753843e-31,1.82696721309092e-28
"Opn1mw",2.84409229022946,1.20137033104653,133.700962279643,6.35167223838294e-31,3.68091168570288e-28
"Cyp2e1",1.65573992987103,3.82775098178977,122.591895747387,1.71294787447377e-28,9.57231978281824e-26
"Odc1",-1.297001812736,6.07242114591026,117.944810782688,1.78280227958877e-27,9.61914043749154e-25
"Golm1",-0.919498786363143,4.8063362199283,116.27951339196,4.12814664183287e-27,2.15310368349197e-24
"Gm10851",-3.43128373604227,1.04558512350236,113.323130535084,1.83326130769822e-26,9.25323860695291e-24
"Mettl21e",2.01607563410925,3.0369250074072,111.010087461281,5.8870380702479e-26,2.87857764641153e-23
"Gm40451",-1.62923367943671,2.68663716039491,109.900997251044,1.03009036541543e-25,4.88418907504704e-23
"Sbk2",-1.08047740120288,5.61067007198774,104.406752397059,1.64768087432956e-24,7.58272430606903e-22
"Serpinb6a",-0.939606934636907,8.00412252611713,101.099084301706,8.74953311915753e-24,3.91154127758451e-21
"Kdm5c",0.780475625705253,5.78581451798955,99.4378163944243,2.0242027655746e-23,8.7979724091516e-21
"Pknox2",0.956222616094022,5.14551320086731,99.2410940923888,2.23559683034772e-23,9.45415773093265e-21
"Ddit4",1.46773834483373,5.70820834603329,97.3468090343355,5.81883508667585e-23,2.39598191055834e-20
"Pik3r1",0.980256788538839,5.47209495878438,96.5735401358727,8.59898186202616e-23,3.44995562038778e-20
"Htra4",-2.22883859950436,2.72945241692452,94.8302865255909,2.07427644625322e-22,8.00565261810031e-20
"Grb10",0.818402877456517,5.12159343485284,94.8080300515016,2.09772964365126e-22,8.00565261810031e-20
"Kcnj3",-2.98679460741424,0.459328413989673,94.6992393056289,2.2162433088251e-22,8.25656167933009e-20
"Ddx3x",0.885000436244801,8.08668293365477,88.9080295978436,4.13601182293068e-21,1.50502737193945e-18
"Tnnc1",1.05038830758481,6.87206226126576,87.9376516146675,6.75505126070497e-21,2.40218834264206e-18
"Kdm6a",0.895407622290208,4.65120131426655,86.6539568173568,1.29271674166548e-20,4.49491974596438e-18
"Themis3",-5.06894116309283,-0.383742879901903,85.8008376529276,1.99001850372817e-20,6.7690912017032e-18
"Stab2",-0.88891666278378,4.56918594290095,85.0575574950089,2.89804960893424e-20,9.64803877255191e-18
"Myh7",1.03171347118483,8.73009500403985,84.219441090083,4.42795002170416e-20,1.44341945811677e-17
"Myh6",0.954187105463257,6.59479747102745,83.6344328424682,5.95271602361822e-20,1.90086015554193e-17
"Dnase1",-1.39594053081083,3.21999009806655,82.778230207392,9.17954073402258e-20,2.87264547730503e-17
"Shc2",-1.00958785361166,3.88858793733909,82.4166435983351,1.1022176411801e-19,3.38164694736176e-17
"Tekt1",-1.62573895923983,2.57445181975182,81.9328777541811,1.40787714971483e-19,4.23635649261306e-17
"Prima1",1.05853245139174,4.54529030054566,80.3760717105776,3.09520739558149e-19,9.1378698337101e-17
"Itpr1",-0.828968174003766,5.5875889370036,80.2921941546482,3.22942302474496e-19,9.35755223484897e-17
"Acsl3",-1.17089630308337,3.83134165988315,79.2751424220845,5.40353112241341e-19,1.53725548131641e-16
"Bhlhe41",-1.0049545651704,6.09693939594875,76.9866579652203,1.72116782681455e-18,4.80912731895844e-16
"Npc1",-0.789347261875996,5.60644887670433,76.7599565273717,1.93052537630543e-18,5.29946150228965e-16
"Tbc1d1",1.00317045562188,7.47108786052165,74.8550295319129,5.06578453327317e-18,1.3666263895194e-15
"Sub1",-0.703005109493632,5.67872517585806,74.5334695992116,5.96188901226182e-18,1.5811131758451e-15
"Eif2s3x",0.691671499942169,5.37299626527218,72.8709794047145,1.38408477893649e-17,3.60946242266989e-15
"Plekhh1",1.86637414397114,1.52984247388362,71.8200038061255,2.35750164782555e-17,6.04718496451251e-15
"Erdr1_1",1.09913964852526,3.94947517137805,70.4497418929189,4.72142939591758e-17,1.19155170577294e-14
"Itga4",1.10149202920216,3.91922588595783,69.6169154271276,7.2016632659016e-17,1.78864166859623e-14
"Tmem37",-1.03511049968765,5.30032995602121,69.51766954504,7.57330138585634e-17,1.85155385600772e-14
"Zfp503",0.847608278566396,4.42435248314784,69.1082743390403,9.3203509931919e-17,2.24362356908421e-14
"Cd276",-1.22058575794697,2.57130778613043,68.5250728519477,1.25274640993943e-16,2.96995804186701e-14
"Pkdcc",-0.704177316069408,6.41262502365674,68.4036247373095,1.33232438310542e-16,3.111474570515e-14
"Gm31608",-2.96213944558331,0.0973142835457468,68.3524577473295,1.36734717854899e-16,3.14630607393472e-14
"Cited4",-1.22909803507082,2.8177758500505,68.2832384976188,1.4161966602542e-16,3.21148248449238e-14
"Tbkbp1",-1.02339984860024,3.43384510751287,68.0217213790071,1.61704349955106e-16,3.61455423392506e-14
"Tnni1",1.07882788747933,6.62665631870913,67.4350564793079,2.17742635723638e-16,4.7986183396729e-14
"Tfr2",-4.102795814043,-0.539068116997218,67.2718861070962,2.36530396189179e-16,5.14026542940567e-14
"Myl2",0.986793931075348,7.7992425036648,67.1845810980402,2.47240248119253e-16,5.29940844153692e-14
"Tceal5",0.734642703026183,4.58644588945486,67.1500909455168,2.51603697728957e-16,5.32005818697972e-14
"Pcx",1.2663294550809,7.59314134719902,66.7499237106497,3.08229348242314e-16,6.43048614926332e-14
"Thrsp",1.31303479526094,3.40697898525115,66.6153294663811,3.30009770000503e-16,6.79429325157616e-14
"LOC118567370",2.43623318405592,0.572035226938406,66.1216714029893,4.23928971335152e-16,8.52337225349406e-14
"Slc45a4",-0.838231078173968,5.09270807661904,66.1172151789043,4.24888499886583e-16,8.52337225349406e-14
"Ip6k3",0.997241316980904,5.72312026527645,65.1538341938067,6.92735319437394e-16,1.37205437256163e-13
"Efcab6",-0.813300152513505,4.02945595076106,64.81493007553,8.22734003322104e-16,1.60916486874762e-13
"Pnpla3",2.02827942927912,3.50060182350163,64.221487959652,1.11189432190836e-15,2.14787783393828e-13
"Tpx2",-2.04100370154472,3.22102593776178,63.9705957160959,1.26290125035297e-15,2.40983120296011e-13
"Hp",-2.41307571306723,5.13234879604143,63.3710193066897,1.71218586392041e-15,3.2277797846702e-13
"Erdr1",1.04947252017888,3.05870285230375,63.0962557178927,1.9684794723737e-15,3.66676170288468e-13
"Mchr1",-2.36981980861929,0.603105394180142,62.7296765084846,2.37115787120233e-15,4.36488320125916e-13
"Stbd1",0.702821628285299,5.69123333125523,62.4145726976124,2.78256596853808e-15,5.06265229182737e-13
"Gm15337",2.31575450731104,0.89661261348062,61.6187969815148,4.16820427857405e-15,7.49653935021243e-13
"Gm52321",-0.681154515418547,5.14547861798761,60.7104919676539,6.61168144638129e-15,1.17560204081282e-12
"Arhgap26",1.26941113102241,3.13396085346823,60.6736044231399,6.73674174620625e-15,1.18437975396505e-12
"Gm49668",1.3451519876505,4.15827202476211,60.0287918315675,9.34798648643691e-15,1.62519938392531e-12
"Cbr2",-0.973113590213148,4.49448227329035,59.2732468988327,1.37229567906712e-14,2.35959455938058e-12
"Samd10",-1.12034679516997,2.68611400963631,59.0753648361599,1.51747204515779e-14,2.58085707506348e-12
"Itga9",0.955665270035787,3.51054740801391,58.4437476806575,2.09187329129798e-14,3.51952057945585e-12
"Tnnt1",0.937713517739124,7.8354437506215,58.2386924158795,2.32167600854697e-14,3.86460260699303e-12
"Map1b",-0.792197617185968,4.3822687936382,57.4130230197005,3.53260478535194e-14,5.79917856682967e-12
"Klhl23",-0.774835534389838,4.36321527301163,57.3989312534378,3.5580056395197e-14,5.79917856682967e-12
"Sult1e1",-7.63722093670168,-1.28626695162438,57.1240467093385,4.09171983142356e-14,6.60032373219427e-12
"Tead1",-0.64782793620856,7.82444055333569,56.4108804044797,5.88040759850387e-14,9.38885078508061e-12
"Npnt",-1.48182820486578,2.77453981092232,56.3378732597456,6.102850808479e-14,9.64558652527989e-12
"Slc35f5",-0.645795344840703,5.32412340399685,56.0105018936148,7.2084938934804e-14,1.12791303951288e-11
"Tmem266",1.59708254912256,1.90771021070734,55.586931925641,8.94160690681198e-14,1.38524082446423e-11
"Kcnf1",-1.88755978566997,2.29713651795567,55.3728981198281,9.97016532837197e-14,1.52944291071604e-11
"Klf13",0.610314459476537,5.81388752406904,54.9447984626426,1.23963020056455e-13,1.88315473283821e-11
"Tpm3",0.83806402924154,7.64592213214194,54.8645183388288,1.29131331329683e-13,1.94280571280341e-11
"Erc2",-1.7073609317536,1.38711133702722,54.484202467822,1.56702480388442e-13,2.33516543870282e-11
"Htra1",-0.62875320506726,5.68899331494723,54.0107611871177,1.99394560712793e-13,2.94332706742743e-11
"Psmd8",-0.737673565991128,7.61911926205374,53.874783799493,2.1368260347127e-13,3.12475859487379e-11
"Tmem229b",1.21351972122009,2.46543013285616,53.7956274351934,2.22467280072032e-13,3.2230977141547e-11
"Ccndbp1",0.649298859734284,5.59423792192087,53.4323878631008,2.67647657876512e-13,3.84209440623283e-11
"LOC118568184",-1.99199046322433,1.01483835922309,53.2117022222388,2.99469445761511e-13,4.25981674348215e-11
"Nr1d1",-1.35968878622784,6.06590405454996,53.1728214137625,3.05455978108084e-13,4.30582854906053e-11
"Nmrk2",-0.915791214633677,5.73738622190262,52.795529111754,3.70142859601518e-13,5.17109403945085e-11
