"","logFC","logCPM","LR","PValue","FDR"
"Eif2s3y",-10.3070914762387,5.76817862083824,3551.64550750114,0,0
"Uty",-9.78590840076834,3.90162262529835,2349.73476194509,0,0
"Kdm5d",-9.65646568056265,3.77229359296607,2214.97100732944,0,0
"Galnt17",-1.56408770333809,3.62270377141543,195.948988101721,1.59918107126784e-44,6.10047599161898e-41
"Cacna2d4",-4.33905414495897,2.27072339865664,192.68988492274,8.22637305664965e-44,2.51052452942834e-40
"Amd2",-2.26331201229377,7.04384749195309,173.127335755144,1.53518476466005e-39,3.90423072065796e-36
"Amd1",-2.23817958481539,7.4609422757099,166.074036775689,5.32958618584144e-38,1.09654519809517e-34
"Ddx3y",-10.1991959276286,6.41200411307177,165.923437285968,5.74897541435309e-38,1.09654519809517e-34
"Cdk19",-1.34523985187318,4.85843087568024,156.551884805756,6.41312787403148e-36,1.08731020255385e-32
"Gadl1",-2.12830057026394,3.24129145720734,148.136943994289,4.42788052173927e-34,6.75650288812195e-31
"Actr3b",-2.12921220648063,3.63103216983798,147.672548162826,5.59385301754558e-34,7.75969119952073e-31
"Slc30a2",-2.21168098657163,4.54932390091332,127.446548698855,1.48342753603978e-29,1.88630173103592e-26
"Kdm6a",1.02251255331051,4.69425800067589,123.926275994558,8.74325255103428e-29,1.02625608212486e-25
"Kcnf1",-2.8980935079388,3.46833378203013,117.601342293391,2.11987069333441e-27,2.31050763639927e-24
"Mybph",1.96568490455126,7.0793228597009,110.677635550478,6.96190177646066e-26,7.08211061380088e-23
"Xist",7.7932678135522,6.70958480267092,110.303047917891,8.40992228144514e-26,8.02043775578571e-23
"Slc2a3",-2.4206313442528,3.50562917802131,108.073573992839,2.58983656431458e-25,2.3246068314633e-22
"Opn1mw",2.84037347825531,1.44518183142998,104.383829812553,1.66685370271596e-24,1.41302892498571e-21
"Cbr2",-0.899634125212023,4.55873688552431,103.287622566226,2.89858584368287e-24,2.32786954677668e-21
"Kdm5c",0.818104365205196,5.83260449211383,100.643521142416,1.10121296704733e-23,8.40170433208757e-21
"Dnase1",-1.59357323846499,3.12317310838726,97.729395922095,4.79648671975739e-23,3.48521861222752e-20
