"","logFC","logCPM","LR","PValue","FDR"
"Sln",3.87613739419429,4.00621263181185,147.91377243145,4.95427472714539e-34,7.58994888198674e-30
"Rrad",2.42056339181494,3.9278396949515,124.252837244909,7.41649231538292e-29,5.68103311358332e-25
"Fndc1",-1.19280850690218,4.73328495028161,121.841334885296,2.50056958081694e-28,1.27695753260385e-24
"Gadd45a",2.32955255358904,5.11048962376902,119.521481098687,8.05186813333386e-28,2.83600704127344e-24
"Col1a1",-2.04237181498771,5.26047167911085,119.19924734499,9.47208563769213e-28,2.83600704127344e-24
"Col1a2",-1.8975208287396,6.12964592546679,118.883391124988,1.1107077185144e-27,2.83600704127344e-24
"Chrna1",1.26480082883557,4.73699702194115,114.271696129248,1.13623042455991e-26,2.4867214434654e-23
"Gdf5",3.22450466696805,1.36470592779052,97.8121671867848,4.60012298209176e-23,8.80923551070571e-20
"Krt18",3.62430387997087,4.43155710187836,95.1269511288437,1.78559130390896e-22,3.03947319732058e-19
"Krt8",4.15687714581142,2.15183771856644,94.6386918035765,2.28507916953126e-22,3.39344339995216e-19
"Col3a1",-2.24049538157757,5.49188729690568,94.511646922323,2.43654552215886e-22,3.39344339995216e-19
"Serpinf1",-1.36143277440859,4.70929832171848,86.747076546621,1.23325972844727e-20,1.57446158665101e-17
"Ces2c",3.49025074398883,0.748573227487375,82.463680799535,1.07629742551087e-19,1.26837511990973e-16
"Oxtr",-2.89523016528455,1.27428726123393,80.2827086313594,3.24496296657396e-19,3.55091661770808e-16
"Nme7",2.79462903406885,1.74147131937741,79.7149105725329,4.32524218928776e-19,4.41751402265923e-16
"Col5a1",-1.29485920635001,4.27608824612137,77.6592532760643,1.22441347217901e-18,1.1723758996114e-15
"Cd34",-0.982909139876062,4.27555185820361,76.5548772543835,2.14177866368312e-18,1.93012053691914e-15
"Nid2",-1.30003198411129,2.96422120096576,75.1111733395617,4.44941171777377e-18,3.78694375090523e-15
"Antxr2",-1.10224248384723,3.31166775436782,73.4831443371434,1.01499234069063e-17,8.18404350493707e-15
"Sik1",1.1932672486733,4.77666795084243,72.4414580954535,1.72061080986168e-17,1.31798788035405e-14
"Nid1",-1.30950753353902,5.80993961280415,71.6067328239327,2.62658901576639e-17,1.91615922483529e-14
"Lgi2",-1.62755077685018,1.8441313971913,70.7588569661811,4.03668176759583e-17,2.81099839452582e-14
"Col6a3",-1.43906709717888,4.80897554068267,70.1482009220163,5.50121900029815e-17,3.66429022106816e-14
"Col6a2",-1.70778597667023,5.0470734783748,66.337043226293,3.80048855090343e-16,2.42597852499336e-13
"Col15a1",-1.64106522261354,3.88040809082803,65.6024910412251,5.51689862869179e-16,3.38075547966233e-13
