"","logFC","logCPM","LR","PValue","FDR"
"Ddx3y",-13.0255785715205,6.1796153551205,1916.58154077608,0,0
"Xist",11.4175376777701,6.54494937457445,1700.42381214238,0,0
"Eif2s3y",-10.8729260756215,5.64251291373744,1655.63432262372,0,0
"Uty",-13.1796423930274,3.80723531725873,1155.57673599498,2.75337726456948e-253,1.06294129298705e-249
"Kdm5d",-11.4507438699378,3.83002676563552,1073.86147565284,1.58491451212238e-235,4.89484997923874e-232
"Galnt17",-2.6957564574742,3.57333052780961,292.143899141683,1.69600030345949e-65,4.36493944767024e-62
"Cacna2d4",-3.65473870112177,2.50135485849562,230.412882367568,4.84507127188822e-52,1.06882272257854e-48
"Actc1",3.91884077227036,7.12208984076774,221.691248109866,3.86799163615823e-50,7.46619085569443e-47
"Actr3b",-2.90365673899136,3.44558222869783,166.498233298369,4.30559238294716e-38,7.38743973083e-35
"Slc15a5",-5.90216928345712,1.75567823759172,163.291373213822,2.16056425694773e-37,3.33634332557869e-34
"Rhpn2",2.35171563767649,2.78700643745118,141.778808451598,1.08704208833725e-32,1.52600944800944e-29
"Nmrk2",-2.36587117850885,6.03130402188725,139.881751188402,2.82534899502694e-32,3.63575326510051e-29
"Irx3os",-3.9339075050524,0.370074464512346,137.7992272781,8.06302944622514e-32,9.57763851604681e-29
"Mettl21e",1.63203937405297,3.93027894414774,120.410107809427,5.14459377753604e-28,5.67448693662225e-25
"Slc7a2",1.69407560559439,6.865430895092,104.56973009989,1.51757594888871e-24,1.56229385351597e-21
"C7",-4.19478973579451,3.32543170812761,98.8234736775665,2.7604297340326e-23,2.66415974705821e-20
"Mgst1",-1.73979436582496,4.31534258277372,96.3680644668469,9.53935231691905e-23,8.665098733992e-20
"Slc30a2",-1.92495753977338,4.32828404564808,95.272477428588,1.65903718575626e-22,1.42326956791379e-19
"Col15a1",-1.20048792313164,4.85559330491594,87.2670239941472,9.48156406305717e-21,7.70601643482783e-18
"Nrep",-1.34255329631656,6.05204546783321,86.8654826973969,1.16159102467908e-20,8.96864430154718e-18
"Fkbp5",1.95084890251254,6.42453998976131,83.491241261705,6.39988993896943e-20,4.70605240178885e-17
"Pcx",1.71775577256063,7.75066845470708,83.1595384475438,7.56912499927182e-20,5.31283764721615e-17
"Kdm6a",1.0932052505756,4.66587414764304,79.8299343419212,4.08063387714236e-19,2.73970210134054e-16
