"","logFC","logCPM","LR","PValue","FDR"
"Csrp3",2.21174218753816,6.38226899684688,189.005731192198,5.24036293253827e-43,8.82843943244722e-39
"Slc6a17",2.92651900104135,2.04782261562771,166.013769200738,5.4936162808083e-38,4.62754767413887e-34
"Apol6",1.26476631874236,5.3152893572822,156.15364390522,7.83597501188792e-36,4.4004223675092e-32
"Hr",1.55588485100276,6.51076681922629,150.337244516091,1.46300779790029e-34,6.16182309280653e-31
"Myh10",1.45788411337866,5.04676060621699,142.789257205047,6.53595489562494e-33,2.20222464253187e-29
"Gm49668",2.17596913442794,3.83867371906914,137.930539437228,7.54710241790085e-32,2.11910057390626e-28
"Dusp18",2.05148285635039,4.88238347526939,124.741319539947,5.79811902872801e-29,1.39544158967115e-25
"Ankrd2",2.18749759422035,7.24190963969384,112.056272800482,3.47311135923233e-26,7.31393838362339e-23
"Pdlim1",1.2684007149733,4.33248317913926,104.107650031377,1.91616944647054e-24,3.58685629607658e-21
"Rp1",3.1303776774175,0.275478646739287,100.679928914224,1.08115613951077e-23,1.8214237482338e-20
"AI593442",3.38090583419386,0.155491143829906,97.0057278908838,6.91270642892961e-23,1.05871241098343e-19
"Alb",2.79196815748261,5.93012495944001,96.2617004959123,1.00658532847269e-22,1.41316191906496e-19
"Slc7a2",-1.35941549296153,6.90043932932036,89.1301483317278,3.69674096607729e-21,4.79069192734647e-18
"Kcnq3",2.41577790729457,0.456426090832146,85.7976097422664,1.99326956563483e-20,2.39861516944643e-17
"Hspb7",1.33842867418988,8.80062823929196,82.9333116597485,8.48688416387127e-20,9.53190250058262e-17
"Amy1",1.05409536883412,6.1631376777172,81.6342838309466,1.63748797273871e-19,1.72417249229556e-16
"Ddit4",2.10157942064685,5.28319934049317,80.5545870129993,2.82784232905686e-19,2.80239174809535e-16
"Myom3",1.58941601000924,6.50080197697472,80.0694866997017,3.61471618474288e-19,3.38317353135352e-16
"Ntng2",1.16131795007328,3.63476567372617,78.5253495345448,7.89782339263135e-19,7.0028752997716e-16
"Pcp4l1",1.07870928192952,5.50528026472934,78.3905532242948,8.45555627136663e-19,7.12253782518568e-16
"Fhl2",1.93122249864298,1.5365291849963,77.9653703840751,1.04862935760243e-18,8.41250418453717e-16
"Fhl1",1.44720172996668,10.2620765475396,74.3360590151382,6.58889257476945e-18,5.04559423668822e-15
"A730036I17Rik",3.41287581669222,-0.518555524749502,74.097172433723,7.4364773372999e-18,5.44705798702137e-15
"Igkv4-55",6.25125107167848,-1.63625744259689,71.9175027904396,2.24384814178323e-17,1.57508790185925e-14
"Dnaja4",0.971701694165993,6.61861895342537,71.5688762311501,2.67746871047385e-17,1.80429261461412e-14
"Sulf2",1.12903001799297,3.42833802641021,71.1969106459857,3.232939244095e-17,2.09482028635648e-14
"Slco5a1",0.878183504123711,5.35469886619991,69.6954071370388,6.92070647198831e-17,4.31826451605878e-14
"Slc12a4",0.900338068068423,4.88242328823981,68.3485711030826,1.37004484597485e-16,8.24326625719223e-14
"Ablim1",1.11864181554775,5.95600584321382,67.1443816608631,2.52333391673885e-16,1.46588298259653e-13
"Cebpb",1.07314958686327,5.80537717244379,66.9052223453873,2.84879224028319e-16,1.5966030257796e-13
"Cyfip2",1.79150308221279,3.48382426151223,66.8445094074351,2.93789361899256e-16,1.5966030257796e-13
"Mc5r",-1.52063249697028,2.64683182438336,65.8327034249618,4.90869335737343e-16,2.58427365598969e-13
"Lmcd1",0.980413372553673,6.94080059231292,64.7095825587319,8.67917506335108e-16,4.4308503724932e-13
"Car5b",1.64540170297121,1.18587347814298,64.2216841224812,1.11178362230852e-15,5.5088878485387e-13
"Adamts1",-1.23433288490272,5.71743290590017,63.2864988712235,1.78725118651158e-15,8.60280592547447e-13
"Retn",1.71667526703698,2.31808393405707,62.9821992115723,2.08583164495892e-15,9.76111270072858e-13
"Acta2",0.840834053465809,4.730735240894,62.8771435392605,2.20010602648324e-15,1.00176178995036e-12
"Gm5532",1.75503460398144,2.36380509361332,61.517695275632,4.38781986538423e-15,1.94530529663495e-12
"Actc1",-2.56893514558956,7.24272726325309,60.8315969783257,6.21719891581115e-15,2.6856705162736e-12
"Klhdc7a",1.82183099441141,1.46332612359966,59.9073901889515,9.94274129336511e-15,4.18763406423305e-12
"Igkc",5.63267197783352,2.36541549736859,59.1434978356078,1.46582910215118e-14,6.01519621455737e-12
"Gm52720",2.12097974754392,1.54120006406137,59.0986725690374,1.49960373367015e-14,6.01519621455737e-12
"A930003A15Rik",-2.3874923302677,0.501481242490622,58.8924821836509,1.66527259669428e-14,6.46093857926871e-12
"Emp1",0.956596463774441,4.76547584377915,58.8664746084553,1.68742979454991e-14,6.46093857926871e-12
"Ifi27",0.756319993639249,4.73393681928476,58.6868716622617,1.84870946547422e-14,6.92115741440982e-12
"Arxes1",2.51269899206677,-0.3649315713268,58.5988909514445,1.93325413809206e-14,7.08033314444281e-12
"G0s2",1.04618477300185,3.89226837942947,57.9350814733929,2.7091235007426e-14,9.71076672702353e-12
"Niban1",0.83338065763544,3.99527974541545,57.7838367057812,2.92563874764767e-14,1.02683824961709e-11
"Alpl",1.12617189533929,3.22414104687955,56.9638989100312,4.43886013946767e-14,1.52615258713494e-11
"Hes1",0.998389768559297,3.30422174641442,56.7739481787371,4.88900551745639e-14,1.64730151905176e-11
"Ndrg4",1.84179598243986,1.74780913517449,56.710832121908,5.04846902730829e-14,1.66767760202084e-11
"Hspa1b",1.19070835196547,3.35515014796968,55.9750860255497,7.33952277939731e-14,2.37226350426213e-11
"Pde8a",0.835396244636172,4.616002269609,55.9422729986362,7.46304776671769e-14,2.37226350426213e-11
"Fam107a",1.43394672022575,2.50431555509237,55.1840216594199,1.09757352086169e-13,3.42182398888911e-11
"Tpsb2",1.375544128155,2.58560022676146,55.1493347020529,1.11711473490177e-13,3.42182398888911e-11
"Hmga2-ps1",1.45338991556461,4.55603090834247,54.9135604722652,1.25949007083814e-13,3.78904093275182e-11
"Cd209b",1.60784204805235,0.782273256308797,54.7299608722506,1.38282026980950e-13,4.08708299745276e-11
"Myoz2",1.19548160237542,6.74119163751075,53.5019514851182,2.58336085743035e-13,7.50377247674639e-11
"Npr3",0.961132326332347,3.81830662838724,53.1509788858092,3.08871483842695e-13,8.81958964118287e-11
"C1qa",1.13070380358871,3.1893914660376,52.6316263775276,4.0235750202718e-13,1.120844332322e-10
"Hspa1a",1.17604683573332,3.18878065217081,52.6147111862876,4.05837859984817e-13,1.120844332322e-10
"P3h2",1.25135609419911,2.41060651462472,52.3292064818398,4.69341958339216e-13,1.27532322131303e-10
"Otub2",0.809879106936807,4.36203295796007,51.8419203830659,6.01536969522424e-13,1.60858624214989e-10
"Gm33033",1.45784393644442,2.23143903938598,51.7008096184701,6.46360905648962e-13,1.70144409022939e-10
"Tenm4",1.56532103552685,1.7258997915403,51.3999906218308,7.53388998500265e-13,1.95266837811292e-10
