"","logFC","logCPM","LR","PValue","FDR"
"Ddx3y",-12.4621917814681,6.37534801093274,1514.26926499751,0,0
"Eif2s3y",-11.8482461875444,5.7599568970872,1637.07544757978,0,0
"Xist",9.06730151806497,6.68811428535936,1428.00670567224,1.72407099353867e-312,8.85482862281459e-309
"Uty",-11.2555679621899,3.89110545860939,985.10022636378,3.11145759390907e-216,1.19853346517377e-212
"Kdm5d",-11.1653108237375,3.8010525292984,926.752155921508,1.50078054860002e-203,4.62480533856581e-200
"Cacna2d4",-4.50882953780258,2.24025945870206,203.791351597794,3.10822117282676e-46,7.98191197181912e-43
"Amd1",-2.20610969764347,7.35748698032195,163.995594320845,1.51608703424995e-37,3.33712414624619e-34
"Amd2",-2.18815466486361,6.94515569088747,158.905016275666,1.96288147264624e-36,3.78050971631666e-33
"Adrb3",5.36950885293495,0.802987168645273,139.146941504489,4.09036305434287e-32,7.002701549035e-29
"Tfcp2l1",-1.7743385851625,4.0763547954421,107.594292753046,3.29833659568088e-25,5.0820770266251e-22
"Angptl4",2.16191170657592,4.2483043582446,100.204816134253,1.3742492145958e-23,1.88435744329198e-20
"Actr3b",-2.21920024890313,3.44233440207625,100.074692565455,1.46756810225232e-23,1.88435744329198e-20
"Gadl1",-2.08790487303685,3.30935697511127,99.713162964306,1.76146616286916e-23,2.08774389519139e-20
"Gm36543",2.73127967864402,1.47433918776983,93.0883963577661,5.00100829055413e-22,5.50396683863272e-19
"1700001O22Rik",-3.73847358256584,1.5718048469205,90.1306434445822,2.229418713069e-21,2.29005890206448e-18
"Mettl21e",2.97398608655226,3.17590469037008,84.6895417499711,3.49092081939445e-20,3.36175674907686e-17
"Cdk19",-1.23355914714221,4.77397263063815,83.1211836533906,7.71742138726881e-20,6.99470757264928e-17
"Galnt17",-1.46467591711842,3.55373923667752,82.3839866016807,1.12057988448855e-19,9.59216381122202e-17
"Kcnf1",-2.77406933118538,3.57562636030828,80.4957229527025,2.91334808215866e-19,2.36257196052108e-16
"Slc2a3",-2.55958906049643,3.31781153400477,79.5556339711687,4.6883598336315e-19,3.6119124158297e-16
