"","logFC","logCPM","LR","PValue","FDR"
"Ighg2c",3.39666676547035,1.82995223228256,174.965883941261,6.09055338204721e-40,9.39528764714603e-36
"Slc25a25",2.13913490001298,5.54924965405381,147.375288555514,6.49668730800035e-34,5.01089492066067e-30
"Nrep",-1.51709636422585,6.0553570793934,142.760205044514,6.63225522146247e-33,3.410305634876e-29
"Jchain",4.15851859479718,1.4131068733598,135.360629651985,2.75331179345041e-31,1.06181469314415e-27
"Igkc",5.12250620693894,3.17703130545831,124.543459798966,6.406063007147e-29,1.97639855896499e-25
"Nr4a3",2.26152962906307,2.92253800945155,118.762903096812,1.18026645324914e-27,3.03446505130353e-24
"Arrdc2",2.35952622683291,6.05620670226689,108.831849606467,1.76653986057954e-25,3.89294912704286e-22
"Tfrc",-2.06191872627016,6.71496662100335,106.527791122092,5.64946566517804e-25,1.08935821688796e-21
"Erc2",2.54936165510293,1.22654617459237,97.8252338384598,4.56986755457828e-23,7.83275298854717e-20
"Iglv1",8.27612983367391,-0.71942320352438,92.2612650905275,7.59565422054716e-22,1.1717056200616e-18
"Dusp10",-1.44242830573101,4.88357852907729,84.7341262947482,3.41308302254604e-20,4.78638351870865e-17
"Igha",4.90423055883589,-0.839913348496094,81.0239233719252,2.23001638614083e-19,2.86668606438404e-16
"Col3a1",-1.38544829381796,7.09127637562923,77.7495187663498,1.16971769007578e-18,1.38800500670069e-15
"Iglc1",6.17806358587988,-0.899879382239974,77.0628094001702,1.65606623936372e-18,1.82474841488748e-15
"C130026I21Rik",5.06828764561101,-1.15394665941187,72.4656439300757,1.69965254481731e-17,1.74792267709012e-14
"Sec14l5",-0.965856529808113,5.4905411600411,71.642170653966,2.57983700494006e-17,2.48728535238784e-14
"Krt18",2.37935911163667,1.4242751138891,67.0389735518173,2.66192295297396e-16,2.41546020426919e-13
"Aplnr",-1.33856669214052,2.68970701620701,66.545244745353,3.41953991244998e-16,2.93054570496964e-13
"Map2k6",-0.999527522028766,5.87886234860695,62.8280190915575,2.2556699417898e-15,1.83136655379208e-12
"Cish",-2.4780790652305,4.15809431508031,61.830842477329,3.74265972131588e-15,2.87548718709372e-12
"Rhpn2",1.75319116165747,2.3469684192806,61.742442960703,3.91450997854065e-15,2.87548718709372e-12
"Tob2",1.08189006814897,6.45351332378919,61.4397331388765,4.5650455475793e-15,3.20092693713447e-12
"Oxtr",2.11062025471739,1.35734519251145,58.6707636512157,1.86390686097151e-14,1.25011422771072e-11
"Cyp1b1",2.09639211911522,0.638111861579116,55.0460801408938,1.17736894900843e-13,7.32629170198076e-11
"Tmem132b",2.23330311566427,2.43208125837903,55.0295237655285,1.18732848793932e-13,7.32629170198076e-11
"Lingo3",-1.11140314427607,4.06356506774851,54.3698237439079,1.66093954157238e-13,9.85448206472905e-11
"Slc6a17",1.61547194404403,2.14258944792298,53.6492564774728,2.39674380209662e-13,1.36933962559787e-10
"Orm1",1.93261940512855,0.699549431520948,51.7033121509247,6.45537571718159e-13,3.55645092190154e-10
"Amy1",1.01151577559712,6.35043563790745,51.3983598391898,7.54015091711395e-13,4.01084027749654e-10
"Mettl21e",-1.24469251290217,2.45232914105593,47.3186690317899,6.03348280922836e-12,3.10241686050522e-09
"LOC118568744",3.21586183931491,-0.954320924314242,46.8288941110861,7.74628596538992e-12,3.85465184845499e-09
"Dbp",-0.905142202152748,6.58137068399245,45.9164919072079,1.23402707857769e-11,5.94878178566857e-09
"Tfr2",2.83538756724421,-0.44188392410659,45.6140227361029,1.4400693571592e-11,6.73166966773871e-09
"Map3k6",1.10236223123211,3.47212705383919,45.4741333098681,1.54668002234532e-11,7.0173782425585e-09
"Foxo1",0.766609945901315,4.78597559083392,45.3966753966389,1.60907280266474e-11,7.09187344397322e-09
"Ucp3",1.02915474641395,7.53560322467151,45.2982990272209,1.69196015873724e-11,7.25004928018908e-09
"Ighg2b",8.20735365497115,-0.813863139030193,44.136933145469,3.06188917526333e-11,1.27655952480033e-08
"Tnfaip2",-0.872807936040695,5.20349816053474,43.9813177641193,3.31525136704364e-11,1.34581756810566e-08
"Shroom3",1.68086721432762,1.59813898483192,43.6526865865597,3.92138430926194e-11,1.55105831678653e-08
"Fkbp5",1.00985851804535,5.7815554096984,43.4684048199659,4.30860127582022e-11,1.62331797676794e-08
"Foxo6os",-1.791005735212,2.45768328739781,43.4657111484975,4.31453630542498e-11,1.62331797676794e-08
"Foxo6",-1.46170549416187,2.87101498569779,43.2663935388068,4.77718405747639e-11,1.75459145882454e-08
"Mest",0.955268539536444,4.27017249103293,43.0888821265432,5.23086585067095e-11,1.87654271191744e-08
"Pdk4",1.41151657384462,9.4210691047217,42.9827664858071,5.52241869562091e-11,1.93610979087837e-08
"Col6a1",-0.831333776874466,6.2096895483969,41.6136085658428,1.11216419350106e-10,3.81249885532165e-08
"Cited2",-1.04513012802351,5.94648301941344,41.3119885997205,1.29770548583771e-10,4.33121617088593e-08
"Cidec",1.66442933897144,5.15425981757715,41.2792298436951,1.31963671743575e-10,4.33121617088593e-08
"Dkk3",1.35263862311778,6.24168512790571,39.7775584547826,2.84596435595959e-10,9.14621794896513e-08
"Fras1",-2.20897649767964,1.62937256066252,38.9716539358653,4.30004069961702e-10,1.35372301698556e-07
"Apln",-1.73151980560637,0.440425582836242,38.9202277539445,4.41482229295359e-10,1.36206097382204e-07
"Kcnj2",-0.834545429245426,5.64764459760418,38.828662388831,4.62683928099768e-10,1.39948279899353e-07
"Gm30794",-0.976366620316983,3.51353412159215,38.6564740175561,5.053535897865e-10,1.49915086077818e-07
"Otud1",0.854697132565971,4.1237657669673,38.3287115212965,5.97766476217373e-10,1.73983880417532e-07
"Hacd1",-0.924608446702845,4.06523100618583,38.2875890089325,6.1049690535239e-10,1.74398615962333e-07
"Acta2",0.738487135968105,5.12579001815949,38.1173642799946,6.66146597592904e-10,1.8683595299033e-07
"Gabarapl1",0.865186422839055,6.1809274669786,38.0742959290288,6.81013963798056e-10,1.87595025099086e-07
"Serpine1",1.53795817169362,3.72004315639694,38.0289782986452,6.97016630898582e-10,1.88634711372658e-07
"Per1",1.01047118143958,6.30091353076724,37.6052080667106,8.66129141289487e-10,2.3036048506089e-07
"Ppp1r14bl",1.5749467703511,1.95051630712258,37.4412016592511,9.42107329554872e-10,2.46321146876499e-07
"Slc41a3",-0.775305532808861,6.30418079056171,36.65692336896,1.40857862384915e-09,3.62145564191616e-07
"Wnt5a",-0.954331962644288,2.73387300580004,36.6111953173333,1.44201162220749e-09,3.64663463674962e-07
"Pisd-ps3",0.897991940818139,4.51749250717755,36.4557181380724,1.56174289190174e-09,3.88571707265745e-07
"Pard6b",1.6393177094275,0.784589919164288,36.2834521389523,1.70606315746764e-09,4.17741750271361e-07
"Col15a1",-0.713091554941319,5.07300139961011,36.1744543534284,1.80420166340835e-09,4.34868982183393e-07
"Spint2",1.1289519467774,2.41311401208545,36.0035995665406,1.96953356852914e-09,4.67415766586624e-07
"Ankrd1",1.06485330351308,3.4310372354121,35.575071487379,2.45408048913526e-09,5.73585539778796e-07
