"","logFC","logCPM","LR","PValue","FDR"
"Ighg2c",2.58478792713748,1.36652511894952,81.146910535642,2.09546318129857e-19,3.36154203543917e-15
"Otud1",1.27751082145044,4.30398439871689,79.4661252812306,4.90564547283338e-19,3.93481823375965e-15
"Igkv5-39",5.31741596394263,-1.71879400225787,73.4040005346883,1.05651738308898e-17,5.64955061983781e-14
"Igkv6-17",8.05022495412564,-2.34377282291155,72.6726878674096,1.53037407335778e-17,6.13756522120139e-14
"C130026I21Rik",4.57469244245652,-1.79801979495593,65.5721573725688,5.60246888784009e-16,1.79749611797461e-12
"Jchain",5.22972257611015,1.99142265977209,64.7585997300928,8.46593259075564e-16,2.26350817701503e-12
"Ddit4",2.65180965552685,6.17783884832231,63.6712508668518,1.47014488621218e-15,3.36915203780226e-12
"Igkc",6.49533134231259,4.06847975291352,61.0581474453556,5.54137187926081e-15,1.11118359608877e-11
"Ighg3",4.31769483517927,-2.2571919789566,59.9447525732561,9.75577547488107e-15,1.73891277964491e-11
"Cebpb",1.14283880083313,5.90390176827721,59.2519548402144,1.38722462745644e-14,2.22538574736562e-11
"Lrp2bp",1.11584652033496,3.29477396230082,58.9966063298292,1.5794413718389e-14,2.30339986245815e-11
"Iglv1",6.33843790477028,-1.75551554604825,58.3739130614106,2.16746045605638e-14,2.89753338633804e-11
"Atcayos",-0.891190894952125,5.42791452266653,56.1739282968754,6.6335354082405e-14,8.18578269376878e-11
"Amer1",-1.00531673481094,4.53642443549776,54.9014008016844,1.26730650875593e-13,1.45215221524733e-10
"H1f2",-0.968662746263931,7.17830347099286,54.0104181141915,1.99429378929906e-13,2.13283073119571e-10
"Iglc1",5.24175991209032,-1.89412183497228,53.1511613808944,3.08842789452514e-13,3.09653501774827e-10
"Ms4a1",4.13241579169578,-2.04952198156741,53.0281149367051,3.28808140303661e-13,3.10278834514784e-10
"Serpina3g",4.96169391028144,-1.92535892812989,52.5397839098025,4.2162026696504e-13,3.75757351258509e-10
"F830016B08Rik",1.26125571859144,5.11620198934025,52.2291266956424,4.93881272253567e-13,4.16160633948263e-10
"Wif1",-2.66908727653134,1.6253266318193,52.1323204585802,5.18838840479071e-13,4.16160633948263e-10
"Plin1",2.15047886875216,4.22510865137857,49.1175943230408,2.41068187723846e-12,1.84153136545997e-09
"Pmepa1",1.01251687159716,5.11292296812534,48.8409032043824,2.77589918335596e-12,2.02413521360892e-09
"Erc2",2.06937366768621,0.752995566655426,48.7495348504885,2.90827523042569e-12,2.02845874984734e-09
"Tpx2",1.16205091923221,2.82973998700574,48.052024318961,4.15058883613872e-12,2.77432275455572e-09
"Arrdc3",1.55296992721868,5.84250716170944,47.5697583693423,5.30810514000459e-12,3.40610490623814e-09
"Cebpd",1.46809448647206,5.26678835245936,46.3644070988382,9.81829174859861e-12,6.05788600888534e-09
"Slc6a17",1.60387670764742,2.22201318278684,45.9875470072696,1.19007062506218e-11,7.07078258046201e-09
"Cd79b",2.75659409098465,-1.36227620883508,44.9164982000778,2.05618145539262e-11,1.17804510383601e-08
"Cd79a",3.34924632062493,-1.7324097744956,44.7802648303883,2.20433283413321e-11,1.21937611466086e-08
"AI593442",2.48184946717241,0.51716860029191,44.2971735484839,2.82123264878453e-11,1.50860713839338e-08
"Ostn",1.21532138383784,5.80810002549459,44.1257394839068,3.07944864398674e-11,1.59356500473662e-08
"Kcnab1",1.40323202487659,3.06288820122507,43.8314326536488,3.57910491813104e-11,1.79425003427057e-08
"Scd1",2.14904561287188,7.71374615254541,43.29497017757,4.70792168196017e-11,2.28862059460622e-08
"Gm830",2.51710924691192,-0.622018525789331,42.6781660667369,6.45285470976534e-11,3.04460868394281e-08
"Nr1d1",-1.02813921185852,6.91242221957386,42.3511244233788,7.62724711571738e-11,3.49589423515252e-08
"Casr",1.20305730166892,3.61755715437973,41.9677486675687,9.27913032141808e-11,4.13488357267191e-08
